"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"24",24,"-2","SELENA GOMEZ & THE SCENE Who Says",3120,"-208",-1244,"-184",13.073,"-1.341",55,17,4559,707,27.282
"25",25,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3021,"-115",-775,"-42",20.707,"+0.161",55,18,4031,605,23.761
"26",26,"=","BEYONCE Best Thing I Never Had",3002,"+58",601,"-69",15.589,"+0.270",27,26,3002,856,15.589
"27",27,"=","TINIE TEMPAH Written In The Stars",2833,"-28",-624,"+131",17.526,"-0.271",55,7,8819,756,54.175
"28",28,"=","MAROON 5 Never Gonna Leave This Bed",2414,"+32",246,"-1",10.206,"+0.103",55,28,2414,312,10.206
"29",29,"+1","CHRIS BROWN She Ain't You",2335,"+86",635,"+12",12.183,"+0.632",44,29,2335,635,12.183
"30",30,"-1","JEREMIH Down On Me f/50 Cent",2283,"-17",-491,"+51",15.249,"-0.079",55,10,8052,153,44.2
"31",31,"=","LIL WAYNE How To Love",2088,"+93",591,"+26",11.351,"+0.666",30,31,2088,591,11.351
"32",32,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1744,"+83",352,"+4",9.435,"+0.447",30,32,1744,502,9.435
"33",33,"=","T-PAIN Best Love Song f/Chris Brown",1351,"+25",30,"+19",7.088,"+0.102",53,33,1369,260,7.088
"34",34,"=","AVRIL LAVIGNE Smile",1349,"+41",185,"+19",4.756,"+0.080",37,34,1349,226,4.756
"35",35,"=","IYAZ Pretty Girls",1103,"+41",179,"+33",4.052,"+0.107",30,35,1103,271,4.052
"36",36,"=","NEW BOYZ Back Seat f/Cataracs & Dev",1026,"-14",-254,"+34",6.569,"-0.047",55,17,4096,331,21.342
"37",37,"=","CEE LO GREEN Bright Lights Bigger City",1013,"+17",109,"-10",3.418,"+0.036",36,37,1013,170,3.418
"38",38,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",1012,"+55",195,"+30",4.26,"+0.429",21,38,1012,257,4.26
"39",39,"=","CHRIS BROWN Look At Me Now",907,"+13",-98,"+21",6.903,"+0.145",55,28,1861,229,12.746
"40",40,"+1","BAD MEETS EVIL Lighters f/Bruno Mars",865,"+58",463,"+16",4.367,"+0.366",9,40,865,463,4.367
"41",41,"-1","BIG SEAN My Last f/Chris Brown",841,"+4",122,"-20",4.039,"+0.129",30,40,841,169,4.039
"42",42,"+1","COLDPLAY Every Teardrop Is A Waterfall",839,"+51",298,"-10",3.96,"+0.171",10,42,839,446,3.96
"43",43,"-1","ALL TIME LOW I Feel Like Dancin�",789,"+0",10,"-25",2.065,"-0.039",16,41,795,294,2.313
"44",44,"=","AFROJACK Take Over Control f/Eva Simons",685,"+45",234,"+23",7.383,"+0.307",15,44,685,234,7.383
"45",45,"+2","BLACK EYED PEAS Don't Stop The Party",617,"+88",445,"+72",2.306,"+0.277",3,45,617,445,2.306
"46",46,"-1","ANDY GRAMMER Keep Your Head Up",587,"+46",238,"+29",1.923,"+0.158",9,45,587,238,1.923
"47",47,"-1","TRAIN Save Me San Francisco",534,"-5",0,"-14",2.021,"-0.025",35,44,551,92,2.155
"48",48,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",520,"+34",185,"+2",2.32,"+0.172",6,48,520,211,2.32
"49",49,"=","CODY SIMPSON On My Mind",446,"+4",69,"-8",1.343,"-0.002",16,47,446,89,1.345
"50",50,"--","JOE JONAS See No More",415,"--",157,"--",1.477,"--",1,50,415,157,1.477
